phase,sleepHours,sleepQuality,energy,mood,muscleSoreness,sleepDebt,acuteLoad,chronicLoad,recoveryScore
Late Luteal,6.3,3,2,3,2,1.7,225.2,134.8,33.2
Menstrual,7.7,4,2,3,5,0.3,800.0,847.5,28.7
Menstrual,5.9,3,3,2,2,2.1,149.3,107.9,33.4
Early Luteal,7.2,4,5,4,2,0.8,194.2,220.6,58.6
Late Luteal,7.7,4,2,3,3,0.3,286.0,299.5,46.1
Follicular,6.6,4,3,3,2,1.4,156.8,123.2,54.6
Follicular,6.7,3,3,4,2,1.3,224.3,246.4,46.5
Follicular,7.2,4,3,3,3,0.8,332.8,302.1,51.0
Late Luteal,6.3,2,2,2,1,1.7,33.5,0.0,37.5
Menstrual,6.6,3,3,3,1,1.4,32.8,0.0,48.9
Follicular,7.7,5,2,2,4,0.3,606.9,488.9,47.3
Ovulation,6.6,3,5,5,2,1.4,90.1,190.1,52.6
Follicular,7.3,4,3,3,1,0.7,88.5,86.2,61.5
Late Luteal,6.7,3,1,1,4,1.3,612.3,511.9,23.6
Early Luteal,6.8,3,3,4,2,1.2,228.6,260.5,47.0
Early Luteal,8.1,4,2,4,5,0.0,800.0,816.7,39.4
Late Luteal,8.6,4,3,3,1,0.0,30.4,34.7,70.2
Late Luteal,6.8,3,2,2,3,1.2,527.7,578.2,30.9
Menstrual,8.0,5,3,4,2,0.0,358.2,211.8,62.3
Menstrual,8.2,4,3,4,2,0.0,353.3,234.9,55.6
Follicular,5.8,3,4,4,2,2.2,243.2,192.7,41.1
Menstrual,6.6,3,3,2,2,1.4,8.0,0.0,43.6
Early Luteal,8.4,4,4,3,1,0.0,72.3,172.3,75.5
Menstrual,5.4,2,3,3,2,2.6,106.9,109.5,29.9
Menstrual,8.1,4,3,4,2,0.0,224.6,276.9,64.3
Menstrual,6.7,3,2,3,3,1.3,278.1,293.6,31.1
Menstrual,6.9,3,3,3,1,1.1,71.0,169.0,54.2
Follicular,7.8,4,3,4,2,0.2,122.4,167.6,64.0
Menstrual,6.1,4,2,3,2,1.9,129.4,87.0,39.0
Follicular,7.7,4,3,3,1,0.3,38.2,0.0,75.0
Late Luteal,5.7,3,4,3,2,2.3,112.8,209.5,41.1
Follicular,7.1,4,3,4,4,0.9,481.7,581.7,39.7
Late Luteal,5.8,2,2,2,3,2.2,502.8,414.8,16.6
Early Luteal,6.7,4,2,4,5,1.3,800.0,679.4,25.4
Follicular,7.8,4,4,4,1,0.2,35.6,83.3,74.6
Late Luteal,6.5,4,4,3,1,1.5,135.7,126.4,53.2
Ovulation,6.5,3,3,4,2,1.5,208.4,223.6,48.8
Follicular,6.8,2,3,3,1,1.2,197.4,18.5,44.7
Follicular,8.2,5,5,4,1,0.0,48.6,148.6,83.7
Late Luteal,6.1,4,3,4,2,1.9,180.3,115.3,43.1
Follicular,7.7,5,4,4,3,0.3,425.0,269.6,57.9
Late Luteal,7.0,3,2,2,3,1.0,190.8,175.1,36.6
Late Luteal,5.8,4,3,3,2,2.2,125.0,64.4,46.7
Follicular,7.5,4,4,3,2,0.5,234.6,317.9,66.4
Follicular,5.7,4,4,4,2,2.3,95.4,120.8,48.2
Follicular,7.0,4,3,3,3,1.0,388.7,309.1,43.5
Follicular,6.2,3,4,3,3,1.8,283.6,383.6,34.5
Follicular,8.4,5,4,5,2,0.0,211.2,148.8,75.2
Late Luteal,6.9,2,3,3,2,1.1,94.5,0.0,41.0
Follicular,6.6,2,3,4,2,1.4,126.0,212.0,42.2
Early Luteal,6.8,3,4,3,3,1.2,494.3,554.7,38.8
Late Luteal,8.0,4,3,3,1,0.0,86.9,55.7,65.2
Follicular,5.8,3,3,4,1,2.2,181.5,81.1,44.0
Menstrual,7.9,4,3,2,1,0.1,30.6,5.3,70.8
Early Luteal,5.6,3,3,3,2,2.4,149.7,249.7,40.0
Early Luteal,6.3,2,3,4,3,1.7,547.9,647.9,28.6
Ovulation,6.8,4,4,4,2,1.2,174.5,194.0,57.9
Follicular,5.8,5,4,4,2,2.2,188.1,273.2,60.0
Early Luteal,6.5,3,3,4,2,1.5,209.2,244.8,44.1
Follicular,7.5,4,4,4,2,0.5,223.3,94.8,61.5
Late Luteal,7.5,3,3,3,2,0.5,246.3,213.0,46.3
Follicular,7.5,4,3,3,4,0.5,617.4,634.9,41.7
Late Luteal,7.5,4,2,1,2,0.5,131.9,105.6,52.2
Late Luteal,6.6,3,2,2,1,1.4,86.1,128.1,43.9
Late Luteal,6.2,3,2,2,2,1.8,162.9,138.9,36.7
Early Luteal,6.8,2,2,3,2,1.2,140.5,235.2,43.6
Late Luteal,6.3,3,3,2,2,1.7,160.8,0.0,36.7
Ovulation,5.5,4,3,3,2,2.5,60.1,5.9,48.1
Follicular,7.3,3,3,2,2,0.7,250.2,261.8,54.3
Menstrual,6.6,3,2,2,2,1.4,174.3,245.2,43.4
Late Luteal,5.9,2,2,2,1,2.1,35.1,0.0,35.8
Follicular,6.8,3,4,3,1,1.2,21.2,18.1,56.1
Early Luteal,6.5,2,3,2,4,1.5,444.5,448.9,20.0
Menstrual,6.7,3,2,3,2,1.3,128.0,175.8,38.8
Early Luteal,6.0,3,2,3,2,2.0,219.8,185.7,36.6
Follicular,6.6,3,4,4,1,1.4,8.6,13.8,61.1
Menstrual,6.7,3,2,3,2,1.3,183.6,202.6,43.3
Late Luteal,5.9,3,2,2,1,2.1,78.2,0.0,43.0
Late Luteal,5.7,4,1,2,3,2.3,347.2,327.1,29.8
Late Luteal,7.4,4,3,2,1,0.6,32.4,132.4,60.0
Follicular,7.4,4,3,5,3,0.6,306.0,287.8,55.1
Follicular,7.4,4,3,3,2,0.6,204.2,105.3,60.5
Early Luteal,6.3,2,3,4,2,1.7,303.1,395.1,38.6
Early Luteal,8.0,4,4,4,2,0.0,224.0,157.4,62.0
Menstrual,5.9,2,3,3,1,2.1,107.8,121.8,38.9
Menstrual,8.5,3,3,1,1,0.0,128.8,0.0,63.4
Early Luteal,6.5,3,3,2,2,1.5,176.2,130.4,49.4
Follicular,7.1,4,4,4,2,0.9,188.4,164.3,51.6
Follicular,5.7,3,3,3,2,2.3,213.9,313.9,33.7
Late Luteal,7.7,3,3,3,1,0.3,73.9,0.0,60.3
Follicular,6.3,3,4,3,2,1.7,186.3,282.8,43.3
Late Luteal,6.4,3,3,2,1,1.6,17.9,18.4,47.2
Follicular,6.7,4,4,4,2,1.3,277.0,196.1,52.1
Follicular,4.5,2,3,3,1,3.5,173.6,112.6,33.4
Early Luteal,6.8,4,3,3,1,1.2,103.0,143.0,60.8
Early Luteal,6.6,4,3,3,1,1.4,96.2,141.4,56.7
Early Luteal,6.1,2,2,2,2,1.9,62.2,85.3,33.6
Late Luteal,6.5,3,3,3,1,1.5,85.2,139.6,47.5
Follicular,7.5,5,4,4,1,0.5,91.5,0.0,71.7
Late Luteal,6.8,3,2,2,2,1.2,190.8,35.6,40.9
Ovulation,7.0,3,3,4,5,1.0,757.3,793.7,24.9
Follicular,8.2,5,4,4,2,0.0,163.0,205.8,73.7
Follicular,8.5,4,4,3,1,0.0,83.2,50.4,76.3
Menstrual,7.8,4,3,2,2,0.2,105.5,140.2,61.7
Early Luteal,3.8,1,2,3,3,4.2,281.5,174.7,1.8
Early Luteal,6.8,4,3,4,3,1.2,500.3,475.1,37.0
Early Luteal,8.3,4,4,4,1,0.0,38.0,23.5,73.4
Late Luteal,6.5,2,1,2,4,1.5,556.3,572.7,16.1
Menstrual,5.9,3,2,2,3,2.1,418.7,415.2,22.5
Follicular,6.7,2,2,3,4,1.3,557.9,501.5,26.7
Early Luteal,6.9,1,3,2,2,1.1,176.6,126.3,35.3
Ovulation,9.3,4,4,4,1,0.0,117.8,217.8,81.8
Ovulation,7.0,2,3,4,2,1.0,210.0,211.3,47.5
Menstrual,6.3,3,1,2,4,1.7,487.7,515.1,24.6
Late Luteal,4.4,2,2,2,2,3.6,193.4,138.0,19.7
Follicular,8.4,4,3,4,2,0.0,180.4,111.5,63.5
Late Luteal,6.1,2,2,2,1,1.9,145.8,134.0,33.8
Menstrual,6.4,2,3,3,4,1.6,497.1,486.9,17.8
Follicular,8.5,4,4,3,3,0.0,314.7,348.8,56.9
